"","Condition","min","Target","Signal","Sigma"
"1","10ng/mL HGF",0,"pAKT",-670718577.284672,96749275.7551479
"2","10ng/mL HGF",5,"pAKT",568267705.717229,97144057.480996
"3","10ng/mL HGF",10,"pAKT",1047511985.40972,97215659.0013372
"4","10ng/mL HGF",20,"pAKT",-323041808.71515,97055786.6407116
"5","10ng/mL HGF",30,"pAKT",-899694817.71267,96908309.2591017
"6","10ng/mL HGF",60,"pAKT",317336263.906077,96731345.8281802
"7","10ng/mL HGF",120,"pAKT",-469389150.58747,96827712.2329978
"8","40ng/mL HGF",0,"pAKT",-759328359.917045,50745959.2323593
"9","40ng/mL HGF",5,"pAKT",332402268.460866,72362377.4089528
"10","40ng/mL HGF",10,"pAKT",195128642.369713,69714209.8861763
"11","40ng/mL HGF",20,"pAKT",128694503.412192,103596333.399498
"12","40ng/mL HGF",30,"pAKT",74252762.5824734,55677233.4393369
"13","40ng/mL HGF",60,"pAKT",1005593569.50073,53448566.9370989
"14","40ng/mL HGF",120,"pAKT",-795133189.478791,51150625.0656136
"15","80ng/mL HGF",0,"pAKT",-308534809.354283,63706227.8996894
"16","80ng/mL HGF",5,"pAKT",836292363.695378,97808852.2626881
"17","80ng/mL HGF",10,"pAKT",891197549.298427,88293133.3777025
"18","80ng/mL HGF",20,"pAKT",1116270417.7932,79874711.3197482
"19","80ng/mL HGF",30,"pAKT",907926730.146062,69436573.3001951
"20","80ng/mL HGF",45,"pAKT",379933642.919091,89708373.677044
"21","80ng/mL HGF",60,"pAKT",-695278754.946773,65357626.6245383
"22","80ng/mL HGF",120,"pAKT",-215630298.315516,63820482.6619717
"23","40ng/mL HGF + AKTi",0,"pAKT",-202615719.325505,96655118.6550567
"24","40ng/mL HGF + AKTi",5,"pAKT",162299204.705432,98974061.5852151
"25","40ng/mL HGF + AKTi",10,"pAKT",-241197048.134346,97476781.7018946
"26","40ng/mL HGF + AKTi",30,"pAKT",-469246505.787931,97024379.4112315
"27","40ng/mL HGF + AKTi",60,"pAKT",-331215987.81516,97286027.5749515
"28","40ng/mL HGF + AKTi",120,"pAKT",592275284.235571,96651287.2857534
"29","40ng/mL HGF + MEKi",0,"pAKT",729899014.913647,97986038.5716451
"30","40ng/mL HGF + MEKi",5,"pAKT",657312175.730851,108123655.778158
"31","40ng/mL HGF + MEKi",10,"pAKT",873234696.978704,120515936.25405
"32","40ng/mL HGF + MEKi",30,"pAKT",1386069974.31788,122173554.009306
"33","40ng/mL HGF + MEKi",60,"pAKT",710016288.199143,110909595.953721
